order_id,customer_id,customer_email,customer_phone,product_sku,product_name,category,city,quantity,unit_price,mrp,discount_pct,revenue,payment_method,order_status,order_date,is_returned,customer_email_is_null,customer_phone_is_null,revenue_is_null
ORD100241,CUST2851,b84f0076e08be4d0,7dc6ee34a8c7e00a,SKU-004,a7c9ac52a64b790c,Appliances,Hyderabad,4,4233.34,4999,15.3,16933.36,Debit Card,returned,2026-01-05,1,0,0,0
ORD101155,CUST1689,0d228c1bfc14663b,4d234a7a21e14f74,SKU-007,a0ca9fcc2e211a4d,Apparel,Ahmedabad,3,2934.67,3999,26.6,8804.01,Debit Card,returned,2026-02-27,1,0,0,0
ORD100225,CUST2977,42b4eeba1c42734a,ae7191b791087961,SKU-008,d4ed859acbd2c963,Nutrition,Bangalore,3,1797.33,2199,18.3,5391.99,UPI,processing,2025-10-07,0,0,0,0
ORD100050,CUST3662,e8af34a73e434857,8ba23db34580826f,SKU-005,91d9bffab83acca4,Bags,Mumbai,1,2101.89,2499,15.9,2101.89,Credit Card,processing,2025-11-27,0,0,0,0
ORD100638,CUST3573,efdddb2fc6a4b3a5,3bc0789974255fe0,SKU-006,2e5a38b444f293be,Electronics,Ahmedabad,2,10629.23,14999,29.1,21258.46,UPI,cancelled,2026-01-25,0,0,0,0
ORD101121,CUST4269,nan,c6a5448a859318a1,SKU-003,10259d3e3df7395d,Fitness,Kolkata,1,1159.58,1299,10.7,1159.58,COD,returned,2026-02-02,1,1,0,0
ORD100817,CUST2222,b33e47ac79f8d692,nan,SKU-010,3698eeb2a7c00e49,Electronics,Mumbai,4,2509.65,3499,28.3,10038.6,UPI,cancelled,2025-12-24,0,0,1,0
ORD100750,CUST4626,3efcb237ecc6118b,3f577ff5d60f8324,SKU-002,cdaf51ea49970fea,Footwear,Pune,3,3131.55,3499,10.5,9394.650000000001,UPI,delivered,2025-10-18,0,0,0,0
ORD100098,CUST1868,a7f3b7095059a9de,38e31dd04ec7f922,SKU-005,91d9bffab83acca4,Bags,Ahmedabad,2,2475.16,2499,1.0,4950.32,Net Banking,delivered,2026-03-19,0,0,0,0
ORD100843,CUST4695,40b8d3ec32f58fd4,277482d2e3621c15,SKU-003,10259d3e3df7395d,Fitness,Kolkata,4,999.6,1299,23.0,3998.4,UPI,processing,2025-11-07,0,0,0,0
ORD100539,CUST3894,987dfa68f5f2ddfb,f1191becaf9b26eb,SKU-001,5cb733bab29ce00d,Electronics,Mumbai,4,3040.99,4199,27.6,12163.96,Wallet,delivered,2025-10-23,0,0,0,0
ORD100569,CUST2615,dcf0d71a86406a70,46a2ff171efea87a,SKU-005,91d9bffab83acca4,Bags,Ahmedabad,2,1766.2,2499,29.3,3532.4,UPI,delivered,2026-02-09,0,0,0,0
ORD100900,CUST2719,764b1e20f4fe08b3,b52e67d611c19f13,SKU-007,a0ca9fcc2e211a4d,Apparel,Delhi,1,3382.97,3999,15.4,3382.97,UPI,delivered,2026-03-25,0,0,0,0
ORD100605,CUST2646,6325bfc3879095c0,491df69584346c96,SKU-009,34c4bf1f0d0594ec,Home,Mumbai,2,785.42,999,21.4,1570.84,UPI,shipped,2026-02-24,0,0,0,0
ORD100885,CUST4054,435a98951bdf7cd0,17714026bb90bc8d,SKU-008,d4ed859acbd2c963,Nutrition,Delhi,2,1957.74,2199,11.0,3915.48,COD,delivered,2025-11-25,0,0,0,0
ORD100838,CUST3185,d08045ccabf1b6ee,1988db16934ac91e,SKU-005,91d9bffab83acca4,Bags,Bangalore,3,2163.25,2499,13.4,6489.75,Debit Card,delivered,2025-10-12,0,0,0,0
